epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4121,0.77138,1.88347,1.08035,0.8584,0.69416,0.83947,0.64117,0.63756,2.15617,1.04952,0.000657407,0.000657407,0.000657407
2,30.185,0.89457,1.50724,1.17869,0.79463,0.76336,0.83678,0.58851,0.82444,1.80547,1.18593,0.00130223,0.00130223,0.00130223
3,42.7248,0.96041,1.37782,1.2176,0.80148,0.80916,0.85169,0.5765,0.96564,1.66529,1.41359,0.00192505,0.00192505,0.00192505
4,55.1428,0.9269,1.21611,1.18949,0.87901,0.82443,0.92095,0.7215,0.84686,1.17502,1.21079,0.001901,0.001901,0.001901
5,66.5271,0.88606,1.04876,1.16465,0.89251,0.87786,0.95315,0.7647,0.74485,0.9092,1.1111,0.001868,0.001868,0.001868
6,78.4744,0.91208,1.03664,1.17503,0.91855,0.83969,0.9418,0.74584,0.83655,0.8878,1.15972,0.001835,0.001835,0.001835
7,90.8483,0.86514,0.9344,1.17097,0.94974,0.86545,0.95435,0.79338,0.68692,0.81427,1.08972,0.001802,0.001802,0.001802
8,102.642,0.82509,0.87494,1.13798,0.92507,0.89313,0.96171,0.78166,0.65215,0.74259,1.03072,0.001769,0.001769,0.001769
9,115.027,0.79293,0.8014,1.11973,0.94981,0.89313,0.97028,0.81073,0.63089,0.65538,1.03169,0.001736,0.001736,0.001736
10,127.054,0.74819,0.75101,1.09282,0.97247,0.94656,0.98777,0.85113,0.58825,0.556,0.99944,0.001703,0.001703,0.001703
11,138.638,0.77918,0.75154,1.12555,0.9573,0.9313,0.97651,0.83684,0.54613,0.5431,0.97567,0.00167,0.00167,0.00167
12,153.994,0.73964,0.70622,1.1032,0.90646,0.96171,0.96499,0.83029,0.55823,0.57123,0.97585,0.001637,0.001637,0.001637
13,162.177,0.72952,0.69117,1.08721,0.95107,0.91603,0.97714,0.84815,0.53499,0.55294,0.9738,0.001604,0.001604,0.001604
14,170.336,0.72502,0.67613,1.10803,0.96959,0.97365,0.99107,0.88948,0.48539,0.45959,0.93392,0.001571,0.001571,0.001571
15,178.129,0.66866,0.62342,1.04459,0.99531,0.94656,0.99132,0.89523,0.49242,0.46968,0.93583,0.001538,0.001538,0.001538
16,186.141,0.69943,0.64124,1.10338,0.93232,0.84131,0.93354,0.76749,0.70734,0.78493,1.18805,0.001505,0.001505,0.001505
17,193.858,0.66998,0.6135,1.05539,0.96464,0.98473,0.99293,0.87275,0.5551,0.46694,0.96169,0.001472,0.001472,0.001472
18,201.913,0.65902,0.56575,1.05175,0.9923,0.98338,0.9947,0.90444,0.45532,0.40221,0.92802,0.001439,0.001439,0.001439
19,210.221,0.66107,0.59617,1.0614,0.9847,0.96183,0.99389,0.90037,0.45002,0.4299,0.91384,0.001406,0.001406,0.001406
20,218.527,0.65105,0.57371,1.06232,0.97896,0.96947,0.99346,0.90387,0.44328,0.42162,0.91459,0.001373,0.001373,0.001373
21,226.421,0.59702,0.55051,1.02526,0.98446,0.96705,0.99295,0.91262,0.39492,0.39585,0.90974,0.00134,0.00134,0.00134
22,237.211,0.6249,0.54953,1.04157,0.98493,0.99753,0.99431,0.92457,0.39492,0.37384,0.88572,0.001307,0.001307,0.001307
23,248.147,0.60893,0.5592,1.02796,0.9847,0.98289,0.99295,0.91851,0.41156,0.3951,0.90068,0.001274,0.001274,0.001274
24,259.116,0.58603,0.53192,1.01657,0.94485,0.98473,0.99141,0.91161,0.40666,0.38476,0.88712,0.001241,0.001241,0.001241
25,270.231,0.60168,0.52464,1.01896,0.97738,0.98945,0.99423,0.94362,0.36227,0.34246,0.87736,0.001208,0.001208,0.001208
26,281.28,0.60488,0.52838,1.04585,0.98981,0.9771,0.9941,0.93354,0.36629,0.34656,0.87738,0.001175,0.001175,0.001175
