photo_cod,image_path,hpi,ivr
VI3263,out_img_norm/VI3263_yolo.png,1,1
VI308,out_img_norm/VI308_yolo.png,2,6
VI1715,out_img_norm/VI1715_yolo.png,1,1
VI1465,out_img_norm/VI1465_yolo.png,0,0
VI1753,out_img_norm/VI1753_yolo.png,3,7
VI976,out_img_norm/VI976_yolo.png,6,0
VI4073,out_img_norm/VI4073_yolo.png,5,0
GI491,out_img_norm/GI491_yolo.png,1,1
VI4062,out_img_norm/VI4062_yolo.png,3,1
VI1604,out_img_norm/VI1604_yolo.png,1,1
VI2076,out_img_norm/VI2076_yolo.png,1,6
VI1147,out_img_norm/VI1147_yolo.png,1,1
VI3330,out_img_norm/VI3330_yolo.png,2,6
VI1305,out_img_norm/VI1305_yolo.png,5,0
GI375,out_img_norm/GI375_yolo.png,5,0
VI2124,out_img_norm/VI2124_yolo.png,2,7
VI3300,out_img_norm/VI3300_yolo.png,0,0
GI833,out_img_norm/GI833_yolo.png,0,0
VI2951,out_img_norm/VI2951_yolo.png,3,1
VI285,out_img_norm/VI285_yolo.png,2,7
VI1117,out_img_norm/VI1117_yolo.png,1,7
VI3686,out_img_norm/VI3686_yolo.png,2,1
VI123,out_img_norm/VI123_yolo.png,1,7
VI1285,out_img_norm/VI1285_yolo.png,5,0
VI3418,out_img_norm/VI3418_yolo.png,0,0
GI35,out_img_norm/GI35_yolo.png,0,0
VI3373,out_img_norm/VI3373_yolo.png,0,0
GI840,out_img_norm/GI840_yolo.png,3,1
VI802,out_img_norm/VI802_yolo.png,2,2
VI2749,out_img_norm/VI2749_yolo.png,5,0
VI1741,out_img_norm/VI1741_yolo.png,1,1
VI3412,out_img_norm/VI3412_yolo.png,1,7
VI923,out_img_norm/VI923_yolo.png,1,2
GI92,out_img_norm/GI92_yolo.png,2,7
VI4255,out_img_norm/VI4255_yolo.png,2,7
VI2163,out_img_norm/VI2163_yolo.png,5,0
VI2169,out_img_norm/VI2169_yolo.png,0,0
GI779,out_img_norm/GI779_yolo.png,0,0
VI2283,out_img_norm/VI2283_yolo.png,1,4
VI4301,out_img_norm/VI4301_yolo.png,2,6
VI769,out_img_norm/VI769_yolo.png,1,7
VI886,out_img_norm/VI886_yolo.png,1,2
VI1587,out_img_norm/VI1587_yolo.png,5,0
VI645,out_img_norm/VI645_yolo.png,1,7
VI1204,out_img_norm/VI1204_yolo.png,3,2
GI541,out_img_norm/GI541_yolo.png,0,0
VI437,out_img_norm/VI437_yolo.png,0,0
VI1123,out_img_norm/VI1123_yolo.png,1,6
GI257,out_img_norm/GI257_yolo.png,5,0
GI508,out_img_norm/GI508_yolo.png,1,7
VI409,out_img_norm/VI409_yolo.png,1,6
VI980,out_img_norm/VI980_yolo.png,1,5
VI1061,out_img_norm/VI1061_yolo.png,4,7
VI4074,out_img_norm/VI4074_yolo.png,5,0
VI79,out_img_norm/VI79_yolo.png,3,6
VI268,out_img_norm/VI268_yolo.png,1,7
VI1639,out_img_norm/VI1639_yolo.png,0,0
VI4449,out_img_norm/VI4449_yolo.png,0,0
VI3400,out_img_norm/VI3400_yolo.png,0,0
VI1076,out_img_norm/VI1076_yolo.png,1,7
VI4405,out_img_norm/VI4405_yolo.png,5,0
GI206,out_img_norm/GI206_yolo.png,3,1
GI692,out_img_norm/GI692_yolo.png,0,0
