section,reference,comparison,n_samples,hpi_n,hpi_missing,hpi_mae,hpi_rmse,hpi_exact,hpi_within_1,hpi_within_2,hpi_kappa_quadratic,ivr_legacy_n,ivr_legacy_missing,ivr_legacy_mae,ivr_legacy_rmse,ivr_legacy_exact,ivr_legacy_within_1,ivr_legacy_within_2,ivr_legacy_kappa_quadratic,ivr_app_n,ivr_app_missing,ivr_app_accuracy,ivr_app_precision,ivr_app_recall,ivr_app_f1,ivr_app_tp,ivr_app_fp,ivr_app_fn,ivr_app_tn,ivr_cond_n,ivr_cond_missing,ivr_cond_excluded_not_jointly_applicable,ivr_cond_mae,ivr_cond_rmse,ivr_cond_exact,ivr_cond_within_1,ivr_cond_within_2,ivr_cond_kappa_quadratic
all,original,sara,200,200,0,0.465,0.796869,0.605,0.945,0.985,0.911836,198,2,1.626263,2.876235,0.535354,0.676768,0.762626,0.535773,198,2,0.893939,0.848921,1.0,0.918288,118,21,0,59,118,2,80,1.59322,2.466728,0.398305,0.618644,0.762712,0.424836
all,original,nerea,200,200,0,0.525,0.863134,0.555,0.945,0.98,0.895128,199,1,2.085427,3.319654,0.442211,0.59799,0.678392,0.418684,199,1,0.839196,0.794521,0.983051,0.878788,116,30,2,51,116,1,83,1.887931,2.746471,0.318966,0.560345,0.698276,0.289852
all,sara,nerea,200,200,0,0.19,0.447214,0.815,0.995,1.0,0.968311,197,3,0.609137,1.649488,0.751269,0.903553,0.923858,0.853507,197,3,0.949239,0.944444,0.985507,0.964539,136,8,2,51,136,3,61,0.5,1.181972,0.713235,0.911765,0.941176,0.831896
solo_dudoso_flagged,original,sara,3,3,0,0.333333,0.57735,0.666667,1.0,1.0,0.0,2,1,0.0,0.0,1.0,1.0,1.0,1.0,2,1,1.0,1.0,1.0,1.0,2,0,0,0,2,1,0,0.0,0.0,1.0,1.0,1.0,1.0
solo_dudoso_flagged,original,nerea,3,3,0,0.333333,0.57735,0.666667,1.0,1.0,0.0,3,0,2.666667,4.082483,0.333333,0.666667,0.666667,0.0,3,0,0.666667,0.666667,1.0,0.8,2,1,0,0,2,0,1,0.5,0.707107,0.5,1.0,1.0,0.0
solo_dudoso_flagged,sara,nerea,3,3,0,0.0,0.0,1.0,1.0,1.0,1.0,2,1,0.5,0.707107,0.5,1.0,1.0,0.0,2,1,1.0,1.0,1.0,1.0,2,0,0,0,2,1,0,0.5,0.707107,0.5,1.0,1.0,0.0
conservador_flagged,original,sara,15,15,0,0.8,1.21106,0.466667,0.8,0.933333,0.790076,14,1,2.857143,4.088311,0.428571,0.5,0.5,0.124532,14,1,0.714286,0.666667,1.0,0.8,8,4,0,2,8,1,6,1.625,2.524876,0.5,0.625,0.625,0.324503
conservador_flagged,original,nerea,15,15,0,0.8,1.21106,0.466667,0.8,0.933333,0.781746,15,0,3.133333,4.171331,0.266667,0.4,0.466667,0.116452,15,0,0.6,0.571429,1.0,0.727273,8,6,0,1,8,0,7,1.75,2.44949,0.375,0.5,0.625,0.370492
conservador_flagged,sara,nerea,15,15,0,0.133333,0.365148,0.866667,1.0,1.0,0.973498,14,1,0.428571,0.755929,0.642857,0.928571,1.0,0.959683,14,1,0.928571,0.923077,1.0,0.96,12,1,0,1,12,1,2,0.416667,0.763763,0.666667,0.916667,1.0,0.934985
conservador_extra,original,sara,12,12,0,0.916667,1.322876,0.416667,0.75,0.916667,0.770073,12,0,3.333333,4.41588,0.333333,0.416667,0.416667,0.005666,12,0,0.666667,0.6,1.0,0.75,6,4,0,2,6,0,6,2.166667,2.915476,0.333333,0.5,0.5,0.172973
conservador_extra,original,nerea,12,12,0,0.916667,1.322876,0.416667,0.75,0.916667,0.759542,12,0,3.25,4.193249,0.25,0.333333,0.416667,0.03653,12,0,0.583333,0.545455,1.0,0.705882,6,5,0,1,6,0,6,2.166667,2.798809,0.333333,0.333333,0.5,0.212291
conservador_extra,sara,nerea,12,12,0,0.166667,0.408248,0.833333,1.0,1.0,0.966292,12,0,0.416667,0.763763,0.666667,0.916667,1.0,0.960452,12,0,0.916667,0.909091,1.0,0.952381,10,1,0,1,10,0,2,0.4,0.774597,0.7,0.9,1.0,0.938776
safe_in_conservador,original,sara,185,185,0,0.437838,0.753371,0.616216,0.956757,0.989189,0.921156,184,1,1.532609,2.762324,0.543478,0.690217,0.782609,0.567747,184,1,0.907609,0.866142,1.0,0.92827,110,17,0,57,110,1,74,1.590909,2.462445,0.390909,0.618182,0.772727,0.434702
